,Reviews
0,"The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution."
1,"Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone."
2,"Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service."
3,"This is a route I fly regularly. Used first class security and lounge all good. Lounge surprisingly not so busy. Was great to see we weren't departing from the dreaded A10 bus gate, and the flight was on time. Boarded and ready to go on time and then.... Six passengers were a no show. A 50 minute delay to offload the bags and depart, longer than the actual flight itself. There has to be a better process for fast tracking this. Hence finally arrived in Paris 45 mins late. On the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days."
4,"While BA may have made some positive improvements to its Club World product, its World Traveler product and catering leaves much to be desired. The first meal service was very slow, more than 3 hours to serve the meal. The portions were incredibly small - the chicken dish contained maybe 5 pieces of chicken, 2 pieces of broccoli, and a piece of unknown food. Small snacks were available during the flight, but the real let down was the snack before landing in Vancouver. It was a bizarre tasting chicken pastry wrap, which didn't have much chicken and did not taste at all like a pastry. It was too sweet, too mushy, and too salty. The seats, although not exactly spacious, were tolerable, although the aisles are very narrow, and cabin crew and other passengers frequently bumped into me while walking up and down the aisles. Cabin crew were generally responsive to passengers' request, and once or twice during the flight, came down the aisles with drinks. However, the poor level of catering made for a very frustrating trip. I certainly cannot recommend BA."
5,"British Airways new Club Suite is a marked improvement from their older Club World seats. The new Club Suite offers a fair amount of privacy, especially with the screen door closed, and includes direct aisle access. When fully reclined, the seat converts into a fairly spacious bed, although I found the surface on the side a bit hard and uncomfortable to sleep on. The catering on board was fairly good and tasty - the appetizers and the main course were generally well cooked, although the cabin crew were very slow with the meal service. It took almost 3 hours after departure from Vancouver for the meal service to be completed. Prior to arrival, a light breakfast was served, which contained a croissant, a small egg and bacon sandwich, and a mango puree. BA's catering on this flight was generally good. Unfortunately, upon arrival at Heathrow, passengers had to wait over 90 minutes for checked baggage to arrive. No explanation was given, and not a single member of ground staff came to assist passengers or provide any information about when checked baggage would arrive. This was a very frustrating end to what was otherwise a fairly enjoyable trip in Club World, and left a very poor last impression of BA."
6,"Four very pleasant, on time flights with friendly, helpful staff. The guy on the LHR/SFO leg was exceptional and I regret that I have forgotten his name. Only negative was the food on the SFO/LHR leg. The advertised filet steak was more akin to stewing steak and was inedible. Sadly this is not the only occasion I have food on US/UK flights to be sub standard. Otherwise happy to recommend BA."
7,"We travel extensively over 25 years and tend to use BA on our regular trips where possible and in recent years we have had overall good service from them however more recently we have experienced flight delays, operational issues, flight cancellations, poor check-in experiences etc. On our last two recent trips, one to Zurich and another to Iceland they had cancelled our return flight an hour or so prior to the scheduled departure time despite the flight showing as on time and no problems being reported. We have just returned from Iceland and our experience was one of the worst we have ever had with BA. Again our flight was just cancelled due to operational reasons but what made matters worse on this occasion was the flight was quite early at 7:45am. We went to bed at around 11pm (night before), checked the flight and it showed as being on time with again no issues being reported so we went to sleep fairly rest assured the the flight would be fine. We woke up at 5:30am and then discovered our flight had been cancelled without any warning! We were then left with virtually no other return flight options for that day. It soon got worse as the earliest flight option then being offered by BA was 3 days later! We opted to choose Tuesday with BA as we were left with no other option! If we hadn't acted quickly the Tuesday availability was sure to sell out leaving us with a return option of Wednesday onwards having experienced the same problem with BA in Zurich back in December. We were lucky on this occasion as BA offered several flights back on the same day in Zurich but this wasn't the case with Iceland! We were then left in a right predicament as hotel availability in Iceland was very limited to non existent given the very short notice of our cancelled flight. Our hotel was fully booked and our hire car had to be returned to the airport. From a logistical point of view this was a complete nightmare having to then rebook another hire car and to find alternative hotels. We then decided to search for any in-direct flights online to get us back to the UK sooner with another airline and after a good half hour of searching we came across an in-direct flight into Gatwick with Norwegian Air but it went via Oslo and a total journey time of 8 hours! This was not ideal as our car was in Heathrow! Assessing our options which were virtually none, we had no guarantees that the flight with BA on Tuesday would also have proceeded on time and checking with Norwegian Air both flights were on time and looked promising so we decided to get these booked at an additional expense of £600! If we had stayed in Iceland we would have also incurred additional cost to then fight back with BA or the insurance company. Our priority was to return home ASAP as we had important work and personal commitments on the Monday so we had to return ASAP. We eventually flew back fine with Norwegian Air and the service we received was far superior to that of BA. The boarding process was slick on both flights compared to a complete shambles with BA. Norwegian Air offered a full food trolley service with soft drinks, tea's and also a range of alcoholic drinks. Compare this to just the water and snack bar on BA!! Both flights were on time and we eventually landed in Gatwick shortly after our expected arrival time. We got back very late home after having to then book a hire car at Gatwick and in the morning we contacted BA to cancel our alternative Tuesday flight"
8,"Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating."
9,A very full flight made Premium Economy feel a little less premium than you should expect for the price however the smaller cabin configuration and slightly roomier seating made the journey relaxing enough. Catering was pretty good and the inflight service was efficient and friendly. Arrived on time and no delays with baggage delivery. No complaints as PE served it's function for the relatively short 7.5hr flight.
